row,col,x,y
9,23,2875.791,485.964
9,24,2972.542,485.499
9,25,3069.292,485.035
9,26,3166.043,484.570
9,27,3262.793,484.106
9,28,3359.544,483.641
9,29,3456.294,483.177
10,0,599.588,510.941
10,1,700.012,510.479
10,2,800.436,510.016
10,3,900.860,509.554
10,4,1001.284,509.091
10,5,1101.708,508.629
10,6,1202.132,508.166
10,7,1302.556,507.704
10,8,1402.980,507.241
10,9,1503.404,506.779
10,10,1603.828,506.316
10,11,1704.252,505.854
10,12,1804.676,505.392
10,13,1905.100,504.929
10,14,2005.523,504.467
10,15,2105.947,504.004
10,16,2206.371,503.542
10,17,2306.795,503.079
10,18,2407.219,502.617
10,19,2507.643,502.154
10,20,2608.067,501.692
10,21,2708.491,501.229
10,22,2808.915,500.767
10,23,2909.339,500.304
10,24,3009.763,499.842
10,25,3110.187,499.379
10,26,3210.611,498.917
10,27,3311.035,498.454
10,28,3411.459,497.992
10,29,3511.883,497.529
11,0,548.647,525.235
11,1,652.744,524.775
11,2,756.842,524.314
11,3,860.939,523.854
11,4,965.036,523.394
11,5,1069.134,522.933
11,6,1173.231,522.473
11,7,1277.329,522.012
11,8,1381.426,521.552
11,9,1485.523,521.091
11,10,1589.621,520.631
11,11,1693.718,520.170
11,12,1797.816,519.710
11,13,1901.913,519.250
11,14,2006.010,518.789
11,15,2110.107,518.329
11,16,2214.205,517.868
11,17,2318.302,517.408
11,18,2422.399,516.947
11,19,2526.497,516.487
11,20,2630.594,516.026
11,21,2734.692,515.566
11,22,2838.789,515.105
11,23,2942.886,514.645
11,24,3046.984,514.185
11,25,3151.081,513.724
11,26,3255.179,513.264
11,27,3359.276,512.803
11,28,3463.373,512.343
11,29,3567.471,511.882
12,0,497.706,539.529
12,1,605.477,539.071
12,2,713.248,538.613
12,3,821.018,538.154
12,4,928.789,537.696
12,5,1036.560,537.237
12,6,1144.331,536.779
12,7,1252.101,536.320
12,8,1359.872,535.862
12,9,1467.643,535.404
12,10,1575.414,534.945
12,11,1683.185,534.487
12,12,1790.956,534.028
12,13,1898.726,533.570
12,14,2006.497,533.112
12,15,2114.268,532.653
12,16,2222.039,532.195
12,17,2329.810,531.736
12,18,2437.580,531.278
12,19,2545.351,530.819
12,20,2653.122,530.361
12,21,2760.893,529.903
12,22,2868.664,529.444
12,23,2976.434,528.986
12,24,3084.205,528.527
12,25,3191.976,528.069
12,26,3299.747,527.611
12,27,3407.518,527.152
12,28,3515.288,526.694
12,29,3623.059,526.235
13,0,446.765,553.824
13,1,558.209,553.367
13,2,669.653,552.911
13,3,781.097,552.454
13,4,892.542,551.998
13,5,1003.986,551.542
13,6,1115.430,551.085
13,7,1226.874,550.629
13,8,1338.318,550.172
13,9,1449.763,549.716
13,10,1561.207,549.260
13,11,1672.651,548.803
13,12,1784.095,548.347
13,13,1895.540,547.891
13,14,2006.984,547.434
13,15,2118.428,546.978
13,16,2229.872,546.521
13,17,2341.316,546.065
13,18,2452.760,545.609
13,19,2564.205,545.152
13,20,2675.649,544.696
13,21,2787.093,544.239
13,22,2898.538,543.783
13,23,3009.982,543.327
13,24,3121.426,542.870
13,25,3232.870,542.414
13,26,3344.314,541.957
13,27,3455.759,541.501
13,28,3567.203,541.045
13,29,3678.647,540.588
14,0,395.824,568.118
14,1,510.941,567.663
14,2,626.059,567.209
14,3,741.177,566.755
14,4,856.294,566.300
14,5,971.412,565.846
14,6,1086.530,565.391
14,7,1201.647,564.937
14,8,1316.765,564.483
14,9,1431.882,564.028
14,10,1547.000,563.574
14,11,1662.118,563.120
14,12,1777.235,562.665
14,13,1892.353,562.211
14,14,2007.471,561.757
14,15,2122.588,561.302
14,16,2237.706,560.848
14,17,2352.824,560.394
14,18,2467.941,559.939
14,19,2583.059,559.485
14,20,2698.177,559.030
14,21,2813.294,558.576
14,22,2928.412,558.122
14,23,3043.530,557.667
14,24,3158.647,557.213
14,25,3273.765,556.759
14,26,3388.882,556.304
14,27,3504.000,555.850
14,28,3619.118,555.396
14,29,3734.235,554.941
15,0,344.882,582.412
15,1,463.673,581.959
15,2,582.465,581.507
15,3,701.256,581.055
15,4,820.047,580.602
15,5,938.838,580.150
15,6,1057.629,579.698
15,7,1176.420,579.245
15,8,1295.211,578.793
15,9,1414.002,578.341
15,10,1532.793,577.888
15,11,1651.584,577.436
15,12,1770.375,576.984
15,13,1889.166,576.531
15,14,2007.957,576.079
15,15,2126.748,575.627
15,16,2245.540,575.174
15,17,2364.331,574.722
15,18,2483.122,574.270
15,19,2601.913,573.817
15,20,2720.704,573.365
15,21,2839.495,572.913
15,22,2958.286,572.460
15,23,3077.077,572.008
15,24,3195.868,571.556
15,25,3314.659,571.103
15,26,3433.450,570.651
15,27,3552.241,570.199
15,28,3671.032,569.746
15,29,3789.823,569.294
16,0,293.941,596.706
16,1,416.406,596.256
16,2,538.870,595.805
16,3,661.335,595.355
16,4,783.799,594.905
16,5,906.264,594.454
16,6,1028.728,594.004
16,7,1151.193,593.554
16,8,1273.657,593.103
16,9,1396.122,592.653
16,10,1518.586,592.203
16,11,1641.051,591.753
16,12,1763.515,591.302
16,13,1885.980,590.852
16,14,2008.444,590.402
16,15,2130.909,589.951
16,16,2253.373,589.501
16,17,2375.838,589.051
16,18,2498.302,588.600
16,19,2620.767,588.150
16,20,2743.231,587.700
16,21,2865.696,587.250
16,22,2988.160,586.799
16,23,3110.625,586.349
16,24,3233.089,585.899
16,25,3355.554,585.448
16,26,3478.018,584.998
16,27,3600.483,584.548
16,28,3722.947,584.097
16,29,3845.412,583.647
17,0,243.000,611.000
17,1,369.138,610.552
17,2,495.276,610.103
17,3,621.414,609.655
17,4,747.552,609.207
17,5,873.690,608.759
17,6,999.828,608.310
17,7,1125.965,607.862
17,8,1252.104,607.414
17,9,1378.241,606.966
17,10,1504.379,606.517
17,11,1630.517,606.069
17,12,1756.655,605.621
17,13,1882.793,605.172
17,14,2008.931,604.724
17,15,2135.069,604.276
17,16,2261.207,603.828
17,17,2387.345,603.379
17,18,2513.483,602.931
17,19,2639.621,602.483
17,20,2765.759,602.034
17,21,2891.896,601.586
17,22,3018.034,601.138
17,23,3144.172,600.690
17,24,3270.310,600.241
17,25,3396.448,599.793
17,26,3522.586,599.345
17,27,3648.724,598.897
17,28,3774.862,598.448
17,29,3901.000,598.000
